"47.610248, -122.325607"
"47.698166, -122.381430"
"47.714266, -122.355809"
"47.710123, -122.370207"
"47.670120, -122.338038"
"47.642987, -122.393107"
"47.663270, -122.279355"
"47.627041, -122.364094"
"47.646858, -122.356453"
"47.719393, -122.301842"
"47.613223, -122.300320"
"47.584600, -122.300500"
"47.725305, -122.316638"
"47.693023, -122.290446"
"47.723240, -122.335643"
"47.697188, -122.343665"
"47.722018, -122.295964"
"47.534400, -122.354700"
"47.730263, -122.312540"
"47.611400, -122.330500"
"47.629720, -122.357838"
"47.665069, -122.279162"
"47.613971, -122.333512"
"47.600231, -122.298903"
"47.650703, -122.388554"
"47.677207, -122.401278"
"47.620320, -122.301036"
"47.637900, -122.364300"
"47.688420, -122.304337"
"47.697883, -122.328242"
"47.567020, -122.314736"
"47.619920, -122.343638"
"47.651166, -122.336347"
"47.613971, -122.333512"
"47.673400, -122.342600"
"47.597942, -122.334110"
"47.710888, -122.355595"
"47.670811, -122.385102"
"47.670811, -122.385102"
"47.653291, -122.353213"
"47.629020, -122.347538"
"47.630255, -122.342338"
"47.674548, -122.387094"
"47.691884, -122.379627"
"47.633528, -122.342119"
"47.611400, -122.330500"
"47.639172, -122.358238"
"47.568220, -122.365138"
"47.620097, -122.357829"
"47.668620, -122.376448"
"47.619775, -122.324009"
"47.730077, -122.292537"
"47.624420, -122.326537"
"47.561120, -122.384038"
"47.699278, -122.365894"
"47.775654, -122.346185"
"47.619334, -122.316637"
"47.614582, -122.342720"
"47.670100, -122.376300"
"47.623116, -122.331562"
"47.611220, -122.340523"
"47.589161, -122.383050"
"47.607031, -122.298796"
"47.661134, -122.345438"
"47.624534, -122.326537"
"47.548118, -122.382855"
"47.682119, -122.263734"
"47.717000, -122.301500"
"47.699278, -122.365894"
"47.555014, -122.362737"
"47.612456, -122.328193"
"47.613266, -122.346518"
"47.617620, -122.319937"
"47.617620, -122.319937"
"47.601432, -122.306178"
"47.630767, -122.344922"
"47.618965, -122.338357"
"47.613120, -122.319787"
"47.559320, -122.384038"
"47.630200, -122.321000"
"47.630200, -122.321000"
"47.624534, -122.326537"
"47.630200, -122.321000"
"47.532512, -122.360270"
"47.646920, -122.336901"
"47.630200, -122.321000"
"47.651717, -122.367778"
"47.650711, -122.386012"
"47.653825, -122.401085"
"47.562902, -122.385437"
"47.662483, -122.315598"
"47.646920, -122.336901"
"47.624520, -122.327937"
"47.670811, -122.385102"
"47.627353, -122.341669"
"47.593320, -122.292093"
"47.668589, -122.387500"
"47.627651, -122.342600"
"47.739208, -122.343235"
"47.621451, -122.315537"
"47.623712, -122.330464"
"47.632420, -122.342338"
"47.672120, -122.325538"
"47.664737, -122.316155"
"47.699728, -122.336344"
"47.539800, -122.387800"
"47.680720, -122.318358"
"47.638340, -122.328324"
"47.690619, -122.392940"
"47.714887, -122.312701"
"47.614244, -122.337590"
"47.617620, -122.319937"
"47.673029, -122.375416"
"47.669202, -122.376752"
"47.620277, -122.319537"
"47.620277, -122.319537"
"47.659506, -122.342741"
"47.649900, -122.350811"
"47.620097, -122.357829"
"47.610100, -122.324039"
"47.615100, -122.344700"
"47.615100, -122.344700"
"47.613120, -122.317894"
"47.697857, -122.277564"
"47.663300, -122.302200"
"47.559320, -122.384038"
"47.661320, -122.314237"
"47.731473, -122.348042"
"47.620845, -122.299654"
"47.620874, -122.299569"
"47.616882, -122.348835"
"47.647702, -122.378739"
"47.611400, -122.330500"
"47.657858, -122.320940"
"47.647702, -122.378739"
"47.623420, -122.354565"
"47.613129, -122.332063"
"47.613120, -122.313831"
"47.612528, -122.348424"
"47.614620, -122.340437"
"47.580312, -122.334009"
"47.580312, -122.334009"
"47.621389, -122.356660"
"47.675620, -122.290337"
"47.648620, -122.357438"
"47.637900, -122.364300"
"47.630808, -122.327153"
"47.615100, -122.344700"
"47.650489, -122.383439"
"47.679701, -122.375629"
"47.675620, -122.290337"
"47.731473, -122.347870"
"47.731357, -122.346840"
"47.731011, -122.347870"
"47.731473, -122.347698"
"47.627483, -122.365143"
"47.626080, -122.342682"
"47.676520, -122.376472"
"47.668620, -122.376639"
"47.650981, -122.343838"
"47.647702, -122.378739"
"47.634073, -122.342338"
"47.639820, -122.326819"
"47.611906, -122.347591"
"47.572298, -122.296482"
"47.717000, -122.301500"
"47.619789, -122.323880"
"47.697947, -122.340546"
"47.676983, -122.325479"
"47.611299, -122.322893"
"47.633557, -122.344651"
"47.620097, -122.357829"
"47.534220, -122.376437"
"47.625238, -122.326537"
"47.617520, -122.345338"
"47.622404, -122.326519"
"47.625593, -122.344938"
"47.534400, -122.354700"
"47.619081, -122.302058"
"47.624520, -122.314537"
"47.648620, -122.357438"
"47.648620, -122.357438"
"47.715609, -122.296028"
"47.613223, -122.346518"
"47.613280, -122.346539"
"47.614620, -122.340437"
"47.614163, -122.345483"
"47.621135, -122.299440"
"47.623420, -122.331637"
"47.717000, -122.301500"
"47.607692, -122.327833"
"47.660589, -122.347752"
"47.696982, -122.342892"
"47.622237, -122.320768"
"47.527820, -122.360337"
"47.564520, -122.368212"
"47.620281, -122.319825"
"47.711451, -122.326584"
"47.633073, -122.325833"
"47.645730, -122.376194"
"47.672120, -122.332438"
"47.628820, -122.320137"
"47.620223, -122.322206"
"47.702340, -122.302225"
"47.710949, -122.325838"
"47.733920, -122.316840"
