Number,Length (mi)[2],Length (km),Southern or western terminus,Northern or eastern terminus,Formed,Removed,Notes
I0002 !I-2,46.8,75.3,"Palmview, Texas (US 83)","Harlingen, Texas (I-69E / US 77 / US 83)",2013,current,"Texas only
Associated routes: none"
I0004 !I-4,132.3,212.9,"Tampa, Florida (I-275)","Daytona Beach, Florida (I-95 / SR 400)",1957,current,"Florida only
Associated routes: none"
I0005 !I-5,"1,381.29","2,222.97","San Ysidro, California (MX-1 in Mexico)","Blaine, Washington (BC 99 in Canada)",1956,current,"3 states served: CA, OR, WA
Associated routes: I-105, I-205, I-305, I-405, I-505, I-605, I-705, I-805; 
Future: I-905"
I0008 !I-8,348.25,560.45,"San Diego, California (Sunset Cliffs Boulevard / Nimitz Boulevard)","Casa Grande, Arizona (I-10)",1964,current,"2 states served: CA, AZ
Associated routes: none"
I0010 !I-10,"2,460.34","3,959.53","Santa Monica, California (SR 1)","Jacksonville, Florida (I-95 / US 17 / SR 228)",1957,current,"8 states served: CA, AZ, NM, TX, LA, MS, AL, FL
Associated routes: I-110, I-210, I-310, I-410, I-510, I-610, I-710, I-910"
I0012 !I-12,85.59,137.74,"Baton Rouge, Louisiana (I-10)","Slidell, Louisiana (I-10 / I-59)",1967,current,"Louisiana only
Associated routes: none"
I0015 !I-15,"1,433.52","2,307.03","San Diego, California (I-8 / CA-15)","Sweetgrass, Montana (Hwy 4 in Canada)",1957,current,"6 states served: CA, NV, AZ, UT, ID, MT
Associated routes: I-115, I-215, I-315, I-515"
I0016 !I-16,166.81,268.45,"Macon, Georgia (I-75)","Savannah, Georgia (US 17 / GA 404 / Montgomery Street)",1972,current,"Georgia only
Associated route: I-516"
I0017 !I-17,145.76,234.58,"Phoenix, Arizona (I-10)","Flagstaff, Arizona (I-40 / AZ-89A)",1961,current,"Arizona only
Associated routes: none"
I0019 !I-19,63.6,102.4,"Nogales, Arizona (MX-15 in Mexico)","Tucson, Arizona (I-10)",1972,current,"Arizona only
Associated routes: none"
I0020 !I-20,"1,539.38","2,477.39","Scroggins Draw, Texas (I-10)","Florence, South Carolina (I-95)",1957,current,"6 states served: TX, LA, MS, AL, GA, SC
Associated routes: I-220, I-520, I-820"
I0022 !I-22,124.7,200.69,"Memphis, Tennessee (I-55 / I-40)","Birmingham, Alabama (I-65 / US 31)",2012,current,"2 states served: Mississippi, Alabama. Planned in 1 more: Tennessee
Planned associated routes: I-222, I-422"
I0024 !I-24,316.36,509.13,"Pulley's Mill, Illinois (I-57)","Chattanooga, Tennessee (I-75)",1962,current,"4 states served: Illinois, Kentucky, Tennessee, Georgia
Associated route: I-124"
I0025 !I-25,"1,062.77","1,710.36","Las Cruces, New Mexico (I-10)","Buffalo, Wyoming (I-90 / US 87)",1957,current,"3 states served: New Mexico, Colorado, Wyoming
Associated route: I-225"
I0026 !I-26,305.62,491.85,"Kingsport, Tennessee (US 11W)","Charleston, South Carolina (US 17)",1960,current,"3 states served: Tennessee, North Carolina, South Carolina
Associated routes: I-126, I-526"
I0027 !I-27,124.13,199.77,"Lubbock, Texas (US 87 / Loop 289)","Amarillo, Texas (I-40 / US 87 / US 287)",1969,current,"Texas only
Associated routes: none"
I0029 !I-29,755.51,"1,215.88","Kansas City, Missouri (I-35 / I-70)","Pembina, North Dakota (US 81 and PTH 29 in Canada)",1958,current,"4 states served: Missouri, Iowa, South Dakota, North Dakota
Associated routes: I-129, I-229"
I0030 !I-30,366.76,590.24,"Fort Worth, Texas (I-20)","North Little Rock, Arkansas (I-40 / US 65 / US 67 / US 167)",1957,current,"2 states served: Texas, Arkansas
Associated routes: I-430, I-530, I-630; Planned: I-130"
I0035 !I-35,"1,568.38","2,524.06","Laredo, Texas (US 83 / SH 359 / BS I-35 as well as MX-85 in Mexico)","Duluth, Minnesota (MN-61 / LSCT / 26th Avenue)",1956,current,"6 states served: TX, OK, KS, MO, IA, MN
Associated routes: I-35E, I-35W, I-135, I-235, I-335, I-435, I-535, I-635"
I0037 !I-37,143,230.14,"Corpus Christi, Texas (US 181)","San Antonio, Texas (I-35 / US 281)",1959,current,"Texas only
Associated routes: none"
